smiles,name,Delta_G_ts,omega_ground_state,omega_transition_state
[H]C([H])=C([H])C(=O)N(C([H])([H])c1c([H])oc([H])c1[H])C([H])([H])C([H])([H])[H],ZINC000521396826,16.4787,0.9482,1.1973
[H]C([H])=C([H])C(=O)N([H])C(=O)N([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],ZINC000521396813,12.8197,1.0806,1.2884
[H]C([H])=C([H])C(=O)N1c2c([H])c([H])c(C(F)(F)F)c([H])c2N([H])C(=O)C1([H])[H],ZINC000521398228,10.9139,1.1884,1.3633
[H]C([H])=C([H])C(=O)N([H])C1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])N([H])[H],ZINC000575440819,17.5299,0.9261,1.2121
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C(N1C([H])([H])C([H])([H])[SH]([O])C([H])([H])C1([H])[H])(C([H])([H])[H])C([H])([H])[H],ZINC000585086807,17.9029,0.9187,1.2132
[H]C([H])=C([H])C(=O)N(C([H])([H])C(=O)N([H])[H])C1([H])C([H])([H])C1([H])[H],ZINC000585086836,16.0291,0.9483,1.2075
[H]C([H])=C([H])C(=O)N([H])C([H])(c1nc([H])c([H])nc1[H])C([H])([H])[H],ZINC000585086861,17.0706,0.9375,1.22
[H]C([H])=C([H])C(=O)N1C([H])([H])c2c(sc(S(=O)(=O)N([H])[H])c2[H])C([H])([H])C1([H])[H],ZINC000585124645,15.2403,0.9664,1.2348
[H]C([H])=C([H])C(=O)N([H])C([H])([H])c1c([H])oc2c([H])c([H])c([H])c([H])c12,ZINC000585133957,17.1732,0.95,1.2177
[H]C([H])=C([H])C(=O)N([H])C(=O)N([H])[H],ZINC000039947134,13.2263,1.0885,1.2935
[H]C#CC(N([H])C(=O)C([H])=C([H])[H])(C([H])([H])[H])C([H])([H])[H],ZINC000032146231,16.3183,0.9406,1.2223
[H]OC([H])([H])N(C(=O)C([H])=C([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(=O)C([H])([H])[H],ZINC000002508206,16.6757,0.9437,1.2075
