smiles,score,name
CCC[C:1](=C(CCC)[N+](=O)[O-])c1ccccc1,-18.0865220344,baldiELEC292
CCC[C:1](=C(CC)[N+](=O)[O-])CC,-16.42576064594007,baldiELEC293
CC(C)C[C:1](=O)OCC(C)C,-31.1707697511,baldiELEC294
CC(C)(C)[CH:1]=[NH2+],-7.6468779091,baldiELEC295
CCC[C+:1](C)Cc1ccccc1,8.1155802376,baldiELEC296
CCC[C:1](=[O+]C)CCC,-3.3037577906,baldiELEC297
C[C+:1](C)C,8.2243448202,baldiELEC298
CCC(=O)C(=[CH2:1])C,-20.3026695684,baldiELEC299
C[CH:1]=CC(=O)c1ccccc1,-17.9577389084,baldiELEC300
CC(C)[C:1](=O)C(C)(C)C,-32.0833036885,baldiELEC301
CCC[C:1](=C(C#N)C(C)C)C,-27.1505104334,baldiELEC302
CCC[C:1](=O)c1ccccc1,-26.3949979475,baldiELEC303
CCC[CH:1]=C(C)C=O,-18.2083616317,baldiELEC304
CCCN(C)[C:1](=O)C,-34.6446625922,baldiELEC305
CCC[C:1](=C(C)C(=O)C)CC,-24.1488104455,baldiELEC306
CC(C)[CH:1]=[OH+],4.358163269572856,baldiELEC307
C[CH:1]=C(C)C(=O)c1ccccc1,-19.5786077179,baldiELEC308
CCC[CH+:1]C=CCC,5.5064199633,baldiELEC309
CC(C)(C)C[CH:1]=O,-26.95925888947555,baldiELEC310
CC(C)C[C+:1](Cc1ccccc1)C(C)(C)C,4.0360286299,baldiELEC311
CCC[C:1](=C[N+](=O)[O-])CC,-14.7460786914,baldiELEC312
CC[C:1](=C(C)C#N)C,-25.7110348786,baldiELEC313
C[CH+:1]C=C(C)c1ccccc1,2.7428764818,baldiELEC314
CCC[O+]=[CH:1]CC,1.9985095722,baldiELEC315
CCC[C:1](=CC#N)C,-24.2372311237,baldiELEC316
CC[CH:1]=[O+]Cc1ccccc1,3.4625452128,baldiELEC317
CCO[C:1](=O)C(C)C,-31.56914428162577,baldiELEC318
C[CH:1]=C(C)C(=O)C,-21.573457529994197,baldiELEC319
CCC(CC)[C:1](=O)C(C)C,-31.3943677019,baldiELEC320
CCC[C:1](=C(CC)C=O)C,-22.884432201,baldiELEC321
CCC[N+](=[CH:1]CC(C)C)CCC,-12.473342880167989,baldiELEC322
